"","code","name","market"
"1","095570","AJ네트웍스","KOSPI"
"2","006840","AK홀딩스","KOSPI"
"3","027410","BGF","KOSPI"
"4","282330","BGF리테일","KOSPI"
"5","138930","BNK금융지주","KOSPI"
"6","001460","BYC","KOSPI"
"7","001040","CJ","KOSPI"
"8","079160","CJ CGV","KOSPI"
"9","000120","CJ대한통운","KOSPI"
"10","011150","CJ씨푸드","KOSPI"
"11","097950","CJ제일제당","KOSPI"
"12","000590","CS홀딩스","KOSPI"
"13","012030","DB","KOSPI"
"14","016610","DB금융투자","KOSPI"
"15","005830","DB손해보험","KOSPI"
"16","000990","DB하이텍","KOSPI"
"17","139130","DGB금융지주","KOSPI"
"18","004840","DRB동일","KOSPI"
"19","155660","DSR","KOSPI"
"20","069730","DSR제강","KOSPI"
"21","017940","E1","KOSPI"
"22","007700","F&F","KOSPI"
"23","114090","GKL","KOSPI"
"24","078930","GS","KOSPI"
"25","006360","GS건설","KOSPI"
"26","001250","GS글로벌","KOSPI"
"27","007070","GS리테일","KOSPI"
"28","012630","HDC","KOSPI"
"29","039570","HDC아이콘트롤스","KOSPI"
"30","089470","HDC현대EP","KOSPI"
"31","294870","HDC현대산업개발","KOSPI"
"32","011200","HMM","KOSPI"
"33","082740","HSD엔진","KOSPI"
"34","175330","JB금융지주","KOSPI"
"35","234080","JW생명과학","KOSPI"
"36","001060","JW중외제약","KOSPI"
"37","096760","JW홀딩스","KOSPI"
"38","105560","KB금융","KOSPI"
"39","009440","KC그린홀딩스","KOSPI"
"40","119650","KC코트렐","KOSPI"
"41","092220","KEC","KOSPI"
"42","016380","KG동부제철","KOSPI"
"43","001390","KG케미칼","KOSPI"
"44","001940","KISCO홀딩스","KOSPI"
"45","025000","KPX케미칼","KOSPI"
"46","092230","KPX홀딩스","KOSPI"
"47","000040","KR모터스","KOSPI"
"48","044450","KSS해운","KOSPI"
"49","030210","KTB투자증권","KOSPI"
"50","058850","KTcs","KOSPI"
"51","058860","KTis","KOSPI"
"52","093050","LF","KOSPI"
"53","003550","LG","KOSPI"
"54","034220","LG디스플레이","KOSPI"
"55","001120","LG상사","KOSPI"
"56","051900","LG생활건강","KOSPI"
"57","032640","LG유플러스","KOSPI"
"58","011070","LG이노텍","KOSPI"
"59","066570","LG전자","KOSPI"
"60","108670","LG하우시스","KOSPI"
"61","037560","LG헬로비전","KOSPI"
"62","051910","LG화학","KOSPI"
"63","079550","LIG넥스원","KOSPI"
"64","006260","LS","KOSPI"
"65","000680","LS네트웍스","KOSPI"
"66","229640","LS전선아시아","KOSPI"
"67","023150","MH에탄올","KOSPI"
"68","035420","NAVER","KOSPI"
"69","005940","NH투자증권","KOSPI"
"70","338100","NH프라임리츠","KOSPI"
"71","034310","NICE","KOSPI"
"72","008260","NI스틸","KOSPI"
"73","010060","OCI","KOSPI"
"74","100840","S&TC","KOSPI"
"75","064960","S&T모티브","KOSPI"
"76","003570","S&T중공업","KOSPI"
"77","036530","S&T홀딩스","KOSPI"
"78","010950","S-Oil","KOSPI"
"79","034120","SBS","KOSPI"
"80","101060","SBS미디어홀딩스","KOSPI"
"81","004060","SG세계물산","KOSPI"
"82","001380","SG충방","KOSPI"
"83","002360","SH에너지화학","KOSPI"
"84","009160","SIMPAC","KOSPI"
"85","034730","SK","KOSPI"
"86","011790","SKC","KOSPI"
"87","018670","SK가스","KOSPI"
"88","001740","SK네트웍스","KOSPI"
"89","006120","SK디스커버리","KOSPI"
"90","210980","SK디앤디","KOSPI"
"91","068400","SK렌터카","KOSPI"
"92","096770","SK이노베이션","KOSPI"
"93","001510","SK증권","KOSPI"
"94","285130","SK케미칼","KOSPI"
"95","017670","SK텔레콤","KOSPI"
"96","000660","SK하이닉스","KOSPI"
"97","005610","SPC삼립","KOSPI"
"98","011810","STX","KOSPI"
"99","077970","STX엔진","KOSPI"
"100","071970","STX중공업","KOSPI"
"101","002710","TCC스틸","KOSPI"
"102","024070","WISCOM","KOSPI"
"103","037270","YG PLUS","KOSPI"
"104","000500","가온전선","KOSPI"
"105","000860","강남제비스코","KOSPI"
"106","035250","강원랜드","KOSPI"
"107","011420","갤럭시아에스엠","KOSPI"
"108","002100","경농","KOSPI"
"109","009450","경동나비엔","KOSPI"
"110","267290","경동도시가스","KOSPI"
"111","012320","경동인베스트","KOSPI"
"112","000050","경방","KOSPI"
"113","214390","경보제약","KOSPI"
"114","012610","경인양행","KOSPI"
"115","009140","경인전자","KOSPI"
"116","013580","계룡건설산업","KOSPI"
"117","012200","계양전기","KOSPI"
"118","002140","고려산업","KOSPI"
"119","010130","고려아연","KOSPI"
"120","002240","고려제강","KOSPI"
"121","009290","광동제약","KOSPI"
"122","017040","광명전기","KOSPI"
"123","017900","광전자","KOSPI"
