"","X2017.12","X2018.12","X2019.12"
"매출액",3201,3735,4560
"매출원가",2636,3131,3890
"매출총이익",565,604,670
"판매비와관리비",411,455,485
"인건비",131,140,154
"유무형자산상각비",50,52,57
"연구개발비",NA,0,0
"광고선전비",8,12,11
"판매비",108,106,95
"관리비",108,138,160
"기타원가성비용",NA,NA,NA
"기타",5,6,8
"영업이익",155,149,185
"영업이익(발표기준)",155,149,185
"금융수익",16,25,29
"이자수익",14,19,14
"배당금수익",0,NA,NA
"외환이익",1,6,14
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",0,NA,NA
"금융자산평가이익",NA,NA,1
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",1,5,14
"이자비용",NA,0,1
"외환손실",1,5,13
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",6,235,4
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,226,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",6,7,3
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-33,-12,-50
"지분법손익",-33,-12,-50
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",137,384,151
"법인세비용",38,91,44
"계속영업이익",99,293,107
"중단영업이익",NA,NA,NA
"당기순이익",99,293,107
"자산",2270,3058,2898
"유동자산",1471,2282,1826
"재고자산",85,151,181
"유동생물자산",NA,NA,NA
"유동금융자산",507,852,370
"매출채권및기타유동채권",546,931,830
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,0,0
"배출권",NA,NA,NA
"기타유동자산",47,53,94
"현금및현금성자산",286,287,350
"매각예정비유동자산및처분자산집단",NA,8,NA
"비유동자산",799,776,1072
"유형자산",557,681,954
"무형자산",39,46,64
"비유동생물자산",NA,NA,NA
"투자부동산",159,NA,NA
"장기금융자산",11,35,41
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",17,NA,NA
"이연법인세자산",4,7,11
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",13,7,2
"기타금융업자산",NA,NA,NA
"부채",607,1135,905
"유동부채",591,1117,891
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",NA,NA,9
"매입채무및기타유동채무",559,955,780
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",0,1,4
"당기법인세부채",21,73,23
"계약부채",NA,NA,NA
"반품(환불)부채",NA,1,1
"배출부채",NA,NA,NA
"기타유동부채",12,88,74
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",15,18,14
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,6,1
"장기매입채무및기타비유동채무",11,5,7
"비유동종업원급여충당부채",NA,3,4
"기타장기충당부채",4,4,NA
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,0,2
"기타금융업부채",NA,NA,NA
"자본",1663,1923,1992
"자본금",86,86,86
"신종자본증권",NA,NA,NA
"자본잉여금",41,41,41
"기타자본",-63,-61,-62
"기타포괄손익누계액",3,5,NA
