"","Price"
"2018-07-20",5200
"2018-07-23",5190
"2018-07-24",5220
"2018-07-25",5170
"2018-07-26",5210
"2018-07-27",5170
"2018-07-30",5160
"2018-07-31",5200
"2018-08-01",5250
"2018-08-02",5170
"2018-08-03",5210
"2018-08-06",5250
"2018-08-07",5250
"2018-08-08",5300
"2018-08-09",5350
"2018-08-10",5340
"2018-08-13",5370
"2018-08-14",5320
"2018-08-16",5210
"2018-08-17",5250
"2018-08-20",5270
"2018-08-21",5330
"2018-08-22",5100
"2018-08-23",5080
"2018-08-24",5310
"2018-08-27",5170
"2018-08-28",5240
"2018-08-29",5210
"2018-08-30",5240
"2018-08-31",5270
"2018-09-03",5310
"2018-09-04",5310
"2018-09-05",5280
"2018-09-06",5160
"2018-09-07",5270
"2018-09-10",5270
"2018-09-11",5270
"2018-09-12",5250
"2018-09-13",5450
"2018-09-14",5430
"2018-09-17",5370
"2018-09-18",5330
"2018-09-19",5330
"2018-09-20",5420
"2018-09-21",5340
"2018-09-27",5300
"2018-09-28",5300
"2018-10-01",5120
"2018-10-02",5090
"2018-10-04",5080
"2018-10-05",5150
"2018-10-08",5070
"2018-10-10",5090
"2018-10-11",4640
"2018-10-12",4545
"2018-10-15",4610
"2018-10-16",4690
"2018-10-17",4820
"2018-10-18",4750
"2018-10-19",4800
"2018-10-22",4745
"2018-10-23",4690
"2018-10-24",4700
"2018-10-25",4680
"2018-10-26",4670
"2018-10-29",4530
"2018-10-30",4555
"2018-10-31",4655
"2018-11-01",4720
"2018-11-02",4850
"2018-11-05",4700
"2018-11-06",4730
"2018-11-07",4420
"2018-11-08",4475
"2018-11-09",4490
"2018-11-12",4380
"2018-11-13",4370
"2018-11-14",4315
"2018-11-15",4270
"2018-11-16",4340
"2018-11-19",4450
"2018-11-20",4460
"2018-11-21",4530
"2018-11-22",4455
"2018-11-23",4490
"2018-11-26",4530
"2018-11-27",4515
"2018-11-28",4565
"2018-11-29",4750
"2018-11-30",4750
"2018-12-03",4790
"2018-12-04",4700
"2018-12-05",4935
"2018-12-06",5030
"2018-12-07",5130
"2018-12-10",5110
"2018-12-11",5140
"2018-12-12",5200
"2018-12-13",5240
"2018-12-14",5200
"2018-12-17",5140
"2018-12-18",5220
"2018-12-19",5270
"2018-12-20",5290
"2018-12-21",5210
"2018-12-24",5360
"2018-12-26",5830
"2018-12-27",5620
"2018-12-28",5890
"2019-01-02",5760
"2019-01-03",5700
"2019-01-04",5690
"2019-01-07",5660
"2019-01-08",5440
"2019-01-09",5570
"2019-01-10",5400
"2019-01-11",5340
"2019-01-14",5340
"2019-01-15",5300
"2019-01-16",5260
"2019-01-17",5210
"2019-01-18",5260
"2019-01-21",5280
"2019-01-22",5300
"2019-01-23",5140
"2019-01-24",5190
"2019-01-25",5230
"2019-01-28",5360
"2019-01-29",5230
"2019-01-30",5300
"2019-01-31",5300
"2019-02-01",5310
"2019-02-07",5310
"2019-02-08",5310
"2019-02-11",5290
"2019-02-12",5290
"2019-02-13",5300
"2019-02-14",5300
"2019-02-15",5360
"2019-02-18",5340
"2019-02-19",5310
"2019-02-20",5320
"2019-02-21",5290
"2019-02-22",5300
"2019-02-25",5300
"2019-02-26",5290
"2019-02-27",5290
"2019-02-28",5300
"2019-03-04",5340
"2019-03-05",5320
"2019-03-06",5320
"2019-03-07",5300
"2019-03-08",5300
"2019-03-11",5300
"2019-03-12",5310
"2019-03-13",5320
"2019-03-14",5300
"2019-03-15",5310
"2019-03-18",5370
"2019-03-19",5380
"2019-03-20",5550
"2019-03-21",5750
"2019-03-22",5560
"2019-03-25",5350
"2019-03-26",5390
"2019-03-27",5460
"2019-03-28",5480
"2019-03-29",5480
"2019-04-01",5450
"2019-04-02",5460
"2019-04-03",5470
"2019-04-04",5530
"2019-04-05",5730
"2019-04-08",5570
"2019-04-09",5660
"2019-04-10",5630
"2019-04-11",5700
"2019-04-12",5820
"2019-04-15",6060
"2019-04-16",5870
"2019-04-17",5980
"2019-04-18",6000
"2019-04-19",6070
"2019-04-22",6040
"2019-04-23",6040
"2019-04-24",6020
"2019-04-25",5980
"2019-04-26",5730
"2019-04-29",5820
"2019-04-30",5710
"2019-05-02",5770
"2019-05-03",5700
"2019-05-07",5630
"2019-05-08",5630
"2019-05-09",5610
"2019-05-10",5610
"2019-05-13",5400
"2019-05-14",5480
"2019-05-15",5490
"2019-05-16",5440
"2019-05-17",5240
"2019-05-20",5430
"2019-05-21",5450
"2019-05-22",5470
"2019-05-23",5480
"2019-05-24",5450
"2019-05-27",5380
"2019-05-28",5450
"2019-05-29",5450
"2019-05-30",5390
"2019-05-31",5310
"2019-06-03",5470
"2019-06-04",5420
"2019-06-05",5310
"2019-06-07",5380
"2019-06-10",5410
"2019-06-11",5460
"2019-06-12",5340
"2019-06-13",5450
"2019-06-14",5480
"2019-06-17",5460
"2019-06-18",5430
"2019-06-19",5450
"2019-06-20",5460
"2019-06-21",5420
"2019-06-24",5390
"2019-06-25",5440
"2019-06-26",5400
"2019-06-27",5370
"2019-06-28",5350
"2019-07-01",5400
"2019-07-02",5400
"2019-07-03",5360
"2019-07-04",5400
"2019-07-05",5350
"2019-07-08",5350
"2019-07-09",5350
"2019-07-10",5340
"2019-07-11",5360
"2019-07-12",5370
"2019-07-15",5320
"2019-07-16",5320
"2019-07-17",5340
"2019-07-18",5330
"2019-07-19",5340
"2019-07-22",5270
"2019-07-23",5320
"2019-07-24",5320
"2019-07-25",5270
"2019-07-26",5250
"2019-07-29",4900
"2019-07-30",4865
"2019-07-31",4820
"2019-08-01",4955
"2019-08-02",4920
"2019-08-05",4705
"2019-08-06",4655
"2019-08-07",4765
"2019-08-08",4875
"2019-08-09",4865
"2019-08-12",4850
"2019-08-13",4665
"2019-08-14",4650
"2019-08-16",4500
"2019-08-19",4620
"2019-08-20",4510
"2019-08-21",4665
"2019-08-22",4650
"2019-08-23",4565
"2019-08-26",4630
"2019-08-27",4560
"2019-08-28",4565
"2019-08-29",4530
"2019-08-30",4600
"2019-09-02",4550
"2019-09-03",4550
"2019-09-04",4665
"2019-09-05",4750
"2019-09-06",4750
"2019-09-09",4685
"2019-09-10",4770
"2019-09-11",4875
"2019-09-16",4850
"2019-09-17",4845
"2019-09-18",4785
"2019-09-19",4870
"2019-09-20",4875
"2019-09-23",4745
"2019-09-24",4745
"2019-09-25",4760
"2019-09-26",4755
"2019-09-27",4745
"2019-09-30",4740
"2019-10-01",4685
"2019-10-02",4630
"2019-10-04",4625
"2019-10-07",4680
"2019-10-08",4670
"2019-10-10",4565
"2019-10-11",4565
"2019-10-14",4485
"2019-10-15",4555
"2019-10-16",4640
"2019-10-17",4580
"2019-10-18",4630
"2019-10-21",4560
"2019-10-22",4575
"2019-10-23",4530
"2019-10-24",4550
"2019-10-25",4610
"2019-10-28",4535
"2019-10-29",4565
"2019-10-30",4610
"2019-10-31",4570
"2019-11-01",4610
"2019-11-04",4565
"2019-11-05",4615
"2019-11-06",4570
"2019-11-07",4625
"2019-11-08",4595
"2019-11-11",4585
"2019-11-12",4520
"2019-11-13",4610
"2019-11-14",4445
"2019-11-15",4545
"2019-11-18",4380
"2019-11-19",4395
"2019-11-20",4330
"2019-11-21",4330
"2019-11-22",4435
"2019-11-25",4515
"2019-11-26",4495
"2019-11-27",4500
"2019-11-28",4460
"2019-11-29",4485
"2019-12-02",4515
"2019-12-03",4530
"2019-12-04",4560
"2019-12-05",4395
"2019-12-06",4445
"2019-12-09",4545
"2019-12-10",4470
"2019-12-11",4505
"2019-12-12",4485
"2019-12-13",4440
"2019-12-16",4500
"2019-12-17",4510
"2019-12-18",4545
"2019-12-19",4555
"2019-12-20",4595
"2019-12-23",4675
"2019-12-24",4580
"2019-12-26",4590
"2019-12-27",4680
"2019-12-30",5050
"2020-01-02",4985
"2020-01-03",4840
"2020-01-06",4790
"2020-01-07",4735
"2020-01-08",4735
"2020-01-09",4590
"2020-01-10",4550
"2020-01-13",4510
"2020-01-14",4515
"2020-01-15",4510
"2020-01-16",4570
"2020-01-17",4530
"2020-01-20",4525
"2020-01-21",4535
"2020-01-22",4545
"2020-01-23",4545
"2020-01-28",4525
"2020-01-29",4570
"2020-01-30",4495
"2020-01-31",4550
"2020-02-03",4545
"2020-02-04",4525
"2020-02-05",4525
"2020-02-06",4510
"2020-02-07",4495
"2020-02-10",4450
"2020-02-11",4450
"2020-02-12",4410
"2020-02-13",4380
"2020-02-14",4315
"2020-02-17",4485
"2020-02-18",4385
"2020-02-19",4410
"2020-02-20",4365
"2020-02-21",4295
"2020-02-24",4130
"2020-02-25",4295
"2020-02-26",4315
"2020-02-27",4210
"2020-02-28",4325
"2020-03-02",4100
"2020-03-03",4100
"2020-03-04",4110
"2020-03-05",4090
"2020-03-06",4190
"2020-03-09",4030
"2020-03-10",3980
"2020-03-11",4190
"2020-03-12",4145
"2020-03-13",4200
"2020-03-16",4115
"2020-03-17",4150
"2020-03-18",3920
"2020-03-19",2930
"2020-03-20",3135
"2020-03-23",3135
"2020-03-24",2985
"2020-03-25",2930
"2020-03-26",3020
"2020-03-27",3035
"2020-03-30",3020
"2020-03-31",3445
"2020-04-01",3300
"2020-04-02",3385
"2020-04-03",3385
"2020-04-06",3380
"2020-04-07",3420
"2020-04-08",3450
"2020-04-09",3455
"2020-04-10",3500
"2020-04-13",3515
"2020-04-14",3515
"2020-04-16",3410
"2020-04-17",3540
"2020-04-20",3535
"2020-04-21",3435
"2020-04-22",3465
"2020-04-23",3475
"2020-04-24",3480
"2020-04-27",3475
"2020-04-28",3475
"2020-04-29",3430
"2020-05-04",3530
"2020-05-06",3545
"2020-05-07",3550
"2020-05-08",3560
"2020-05-11",3580
"2020-05-12",3555
"2020-05-13",3570
"2020-05-14",3555
"2020-05-15",3550
"2020-05-18",3600
"2020-05-19",3600
"2020-05-20",3670
"2020-05-21",3605
"2020-05-22",3570
"2020-05-25",3620
"2020-05-26",3550
"2020-05-27",3530
"2020-05-28",3435
"2020-05-29",3525
"2020-06-01",3475
"2020-06-02",3520
"2020-06-03",3485
"2020-06-04",3520
"2020-06-05",3520
"2020-06-08",3450
"2020-06-09",3450
"2020-06-10",3420
"2020-06-11",3410
"2020-06-12",3470
"2020-06-15",3335
"2020-06-16",3390
"2020-06-17",3350
"2020-06-18",3300
"2020-06-19",3330
"2020-06-22",3390
"2020-06-23",3435
"2020-06-24",3445
"2020-06-25",3325
"2020-06-26",3330
"2020-06-29",3335
"2020-06-30",3335
"2020-07-01",3425
"2020-07-02",3460
"2020-07-03",3495
"2020-07-06",3580
"2020-07-07",3655
"2020-07-08",3650
"2020-07-09",3570
"2020-07-10",3520
"2020-07-13",3555
"2020-07-14",3560
"2020-07-15",3605
"2020-07-16",3660
"2020-07-17",3595
"2020-07-20",3625
"2020-07-21",4070
"2020-07-22",4010
"2020-07-23",3895
"2020-07-24",3995
"2020-07-27",4020
"2020-07-28",4065
"2020-07-29",4020
