"IFRS(연결)" "Annual...2" "Annual...3" "Annual...4" "Annual...5" "Net Quarter...6" "Net Quarter...7" "Net Quarter...8" "Net Quarter...9"
"1" "IFRS(연결)" "2017/12" "2018/12" "2019/12" "(E) : Estimate
컨센서스, 추정치
2020/12(E)" "2019/09" "2019/12" "2020/03" "(E) : Estimate
컨센서스, 추정치
2020/06(E)"
"2" "매출액" "2,589" "3,066" "3,072" "" "742" "833" "670" ""
"3" "영업이익" "110" "112" "99" "" "7" "78" "27" ""
"4" "영업이익(발표기준)" "110" "112" "99" "" "7" "78" "27" ""
"5" "당기순이익" "470" "101" "94" "" "2" "79" "23" ""
"6" "지배주주순이익" "470" "101" "94" "" "2" "80" "23" ""
"7" "비지배주주순이익" "0" "0" "0" "" "0" "0" "0" ""
"8" "자산총계" "3,672" "3,706" "3,760" "" "3,748" "3,760" "3,762" ""
"9" "부채총계" "703" "732" "752" "" "807" "752" "767" ""
"10" "자본총계" "2,969" "2,974" "3,009" "" "2,941" "3,009" "2,995" ""
"11" "지배주주지분" "2,969" "2,971" "3,009" "" "2,941" "3,009" "2,995" ""
"12" "비지배주주지분" "0" "3" "0" "" "0" "0" "0" ""
"13" "자본금" "279" "279" "279" "" "279" "279" "279" ""
"14" "부채비율(%)(총부채 / 총자본) * 100부채비율" "23.67" "24.61" "24.98" "" "27.42" "24.98" "25.61" ""
"15" "유보율(%)(유보액 / 자본금) * 100유보율" "972.15" "972.67" "986.22" "" "962.04" "986.22" "981.25" ""
"16" "영업이익률(%)(영업이익 / 영업수익) * 100영업이익률" "4.24" "3.66" "3.23" "" "0.92" "9.37" "4.04" ""
"17" "지배주주 귀속순이익률(%)(지배주주순이익 / 영업수익) * 100지배주주순이익률" "18.16" "3.28" "3.06" "" "0.32" "9.54" "3.37" ""
"18" "ROA(%)(당기순이익(연율화) / 총자산(평균)) * 100ROA" "13.59" "2.73" "2.52" "" "0.25" "8.47" "2.40" ""
"19" "ROE(%)(지배주주순이익(연율화) / 지배주주지분(평균)) * 100ROE" "17.10" "3.39" "3.14" "" "0.32" "10.69" "3.01" ""
"20" "EPS(원)지배주주순이익 / 수정평균주식수EPS(원)" "1,683" "360" "337" "" "8" "285" "81" ""
"21" "BPS(원)지배주주순자산(자사주차감전) / 수정기말주식수BPS(원)" "10,721" "10,727" "10,862" "" "10,620" "10,862" "10,812" ""
"22" "DPS(원)DPS(보통주,현금) * 무상조정수정계수(보통주)DPS(원)" "150" "120" "120" "" "" "120" "" ""
"23" "PER(배)수정주가(보통주) / 수정EPSPER" "5.79" "25.24" "24.69" "" "" "" "" ""
"24" "PBR(배)수정주가(보통주) / 수정BPSPBR" "0.91" "0.85" "0.77" "" "0.74" "0.77" "0.61" ""
"25" "발행주식수" "27,931" "27,931" "27,931" "" "27,931" "27,931" "27,931" ""
"26" "배당수익률(%)(배당금(보통주,현금) / 시가총액(보통)) * 100배당수익률" "1.54" "1.32" "1.44" "" "" "1.44" "" ""
